"nut":
"k": turbulencia
"p": presion
"epsilon"
"U:0" = U_x (paralelo al viento)
"U:1" = U_y
"U:2" = U_z
"Points:0" = coordenada_x
"Points:1" = coordenada_y
"Points:2" = coordenada_z (vale siempre lo mismo ya estos son datos para un plano en z)

"nut","k","p","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.012351,0.35569,0.19509,0.92945,9.8221,-0.034443,0.002043,7.0012,1.9429,0.817
0.002097,0.04254,0.20047,0.082819,10.511,-0.015489,0.002526,7.0012,2.0724,0.817
0.0014684,0.0036103,0.20114,0.0018608,10.568,-0.016639,0.0024494,7.0012,2.2019,0.817
0.0027357,0.0021066,0.20613,0.00015722,10.56,-0.011254,0.0022006,7.0012,2.3314,0.817
0.0017941,0.0023519,0.21017,0.00088699,10.588,-0.010787,0.0021407,7.0012,2.461,0.817
0.0019271,0.029131,0.21094,0.041233,10.477,-0.014267,0.0018973,7.0012,2.5905,0.817
0.00038292,0.055436,0.21227,0.080792,0,0,0,7.0012,2.72,0.817
0.0069665,0.085341,0.1672,0.11998,6.5138,-0.0042736,-0.0037282,6.8715,1.5543,0.817
0.0082903,0.039153,0.1674,0.018836,6.4369,-0.0018312,-0.0056543,6.8715,1.4248,0.817
0.013964,0.35152,0.17057,0.82004,7.0357,-0.020475,-0.0013028,6.8715,1.6838,0.817
0.02088,0.60085,0.17821,1.562,8.344,-0.049152,0.00049925,6.8715,1.8133,0.817
0.012114,0.35172,0.19012,0.92673,9.829,-0.034178,0.0021139,6.8715,1.9429,0.817
0.0020121,0.040498,0.19673,0.07873,10.516,-0.014886,0.0025985,6.8715,2.0724,0.817
0.0014874,0.0035756,0.19855,0.00178,10.568,-0.016327,0.0025296,6.8715,2.2019,0.817
0.0028026,0.0021055,0.20463,0.00015426,10.56,-0.010785,0.0022853,6.8715,2.3314,0.817
0.0018531,0.0022862,0.2093,0.00079195,10.584,-0.010526,0.0022252,6.8715,2.461,0.817
0.0018892,0.027678,0.21066,0.038141,10.48,-0.013793,0.0019865,6.8715,2.5905,0.817
0.00037398,0.052657,0.21297,0.074795,0,0,0,6.8715,2.72,0.817
0.006971,0.080668,0.15806,0.10963,6.5054,-0.0036618,-0.0035711,6.7419,1.5543,0.817
0.0086149,0.038632,0.15781,0.017491,6.4372,-0.0018286,-0.0054846,6.7419,1.4248,0.817
0.013546,0.34043,0.16154,0.79529,7.0058,-0.019288,-0.0012002,6.7419,1.6838,0.817
0.020461,0.59166,0.17014,1.5463,8.3244,-0.048802,0.00058527,6.7419,1.8133,0.817
0.011873,0.34736,0.18411,0.92238,9.8362,-0.033766,0.0022066,6.7419,1.9429,0.817
0.0019301,0.038482,0.19236,0.074612,10.521,-0.014147,0.0026934,6.7419,2.0724,0.817
0.0015064,0.0035453,0.19573,0.0017068,10.569,-0.015892,0.0026329,6.7419,2.2019,0.817
0.0028671,0.0021047,0.2032,0.00015156,10.56,-0.010221,0.0023934,6.7419,2.3314,0.817
0.0019113,0.002225,0.2087,0.00070515,10.581,-0.010199,0.0023331,6.7419,2.461,0.817
0.0018532,0.026279,0.21088,0.03524,10.483,-0.013238,0.0020991,6.7419,2.5905,0.817
0.00036512,0.04998,0.21433,0.069164,0,0,0,6.7419,2.72,0.817
0.0070094,0.076266,0.14688,0.099716,6.4981,-0.003,-0.0033803,6.6122,1.5543,0.817
0.0089611,0.038172,0.14607,0.016262,6.438,-0.0017961,-0.0052816,6.6122,1.4248,0.817
0.013136,0.32906,0.15057,0.76897,6.9761,-0.017991,-0.0010666,6.6122,1.6838,0.817
0.020026,0.58151,0.16041,1.5269,8.3045,-0.048264,0.00070266,6.6122,1.8133,0.817
0.011628,0.34258,0.17695,0.91624,9.8436,-0.033161,0.002327,6.6122,1.9429,0.817
0.0018511,0.036493,0.18739,0.070475,10.527,-0.013228,0.0028161,6.6122,2.0724,0.817
0.0015254,0.0035192,0.19283,0.001641,10.569,-0.015297,0.0027645,6.6122,2.2019,0.817
0.0029286,0.0021041,0.20206,0.00014909,10.56,-0.0095358,0.0025301,6.6122,2.3314,0.817
0.0019685,0.0021681,0.20868,0.00062622,10.578,-0.0097821,0.0024694,6.6122,2.461,0.817
0.0018194,0.024935,0.21195,0.032523,10.486,-0.012584,0.0022399,6.6122,2.5905,0.817
0.00035634,0.047402,0.2167,0.063884,0,0,0,6.6122,2.72,0.817
0.0070829,0.072134,0.13325,0.090264,6.4918,-0.0022711,-0.0031471,6.4826,1.5543,0.817
0.0093277,0.037765,0.13174,0.01514,6.4393,-0.0017231,-0.0050371,6.4826,1.4248,0.817
0.012737,0.31741,0.13727,0.74111,6.9466,-0.016557,-0.00089355,6.4826,1.6838,0.817
0.019575,0.57038,0.14872,1.5037,8.2844,-0.047482,0.00085941,6.4826,1.8133,0.817
0.011378,0.33735,0.1685,0.90816,9.8513,-0.032297,0.0024822,6.4826,1.9429,0.817
0.001775,0.034537,0.18185,0.066332,10.532,-0.01207,0.0029732,6.4826,2.0724,0.817
0.0015443,0.003497,0.19002,0.0015823,10.57,-0.014493,0.002931,6.4826,2.2019,0.817
0.0029869,0.0021038,0.20148,0.00014683,10.56,-0.0086926,0.0027017,6.4826,2.3314,0.817
0.0020245,0.0021156,0.20959,0.00055484,10.575,-0.0092448,0.00264,6.4826,2.461,0.817
0.001788,0.023644,0.21431,0.029981,10.489,-0.011808,0.0024148,6.4826,2.5905,0.817
0.00034764,0.044924,0.22054,0.05894,0,0,0,6.4826,2.72,0.817
0.0071925,0.068276,0.11662,0.081296,6.4867,-0.0014527,-0.0028604,6.3529,1.5543,0.817
0.0097132,0.037408,0.11424,0.014121,6.4412,-0.001596,-0.0047402,6.3529,1.4248,0.817
0.01235,0.30551,0.12115,0.71178,6.9175,-0.014947,-0.00067009,6.3529,1.6838,0.817
0.019109,0.55825,0.13468,1.4765,8.2642,-0.046386,0.0010656,6.3529,1.8133,0.817
0.011122,0.33164,0.15851,0.89797,9.8593,-0.031093,0.002681,6.3529,1.9429,0.817
0.0017019,0.032616,0.17573,0.062193,10.537,-0.010598,0.0031727,6.3529,2.0724,0.817
0.0015631,0.0034783,0.18751,0.0015302,10.57,-0.013419,0.00314,6.3529,2.2019,0.817
0.0030416,0.0021037,0.20179,0.00014478,10.56,-0.0076447,0.0029156,6.3529,2.3314,0.817
0.0020791,0.0020674,0.21195,0.00049071,10.572,-0.0085472,0.002852,6.3529,2.461,0.817
0.0017593,0.022406,0.21853,0.027606,10.492,-0.010883,0.0026306,6.3529,2.5905,0.817
0.00033903,0.042543,0.2264,0.054317,0,0,0,6.3529,2.72,0.817
0.0073389,0.064693,0.096201,0.072836,6.4828,-0.00051455,-0.0025062,6.2233,1.5543,0.817
0.010116,0.037094,0.092724,0.013197,6.4438,-0.0013982,-0.0043775,6.2233,1.4248,0.817
0.011978,0.29339,0.10149,0.68107,6.889,-0.013112,-0.00038261,6.2233,1.6838,0.817
0.018628,0.54511,0.1177,1.4452,8.2441,-0.044886,0.0013334,6.2233,1.8133,0.817
0.010861,0.32541,0.14662,0.88551,9.8677,-0.029445,0.0029342,6.2233,1.9429,0.817
0.0016317,0.030734,0.16905,0.058073,10.543,-0.0087085,0.0034242,6.2233,2.0724,0.817
0.0015818,0.0034631,0.18562,0.0014845,10.57,-0.011994,0.0034006,6.2233,2.2019,0.817
0.0030923,0.0021038,0.20348,0.0001429,10.56,-0.00633,0.0031807,6.2233,2.3314,0.817
0.0021323,0.0020234,0.21642,0.00043359,10.569,-0.0076364,0.0031133,6.2233,2.461,0.817
0.0017335,0.021221,0.22538,0.025392,10.494,-0.0097804,0.0028953,6.2233,2.5905,0.817
0.00033052,0.040258,0.23502,0.050001,0,0,0,6.2233,2.72,0.817
0.0075228,0.061385,0.07098,0.064905,6.4804,0.00058331,-0.0020669,6.0936,1.5543,0.817
0.010532,0.03682,0.066187,0.012363,6.4473,-0.0011101,-0.0039317,6.0936,1.4248,0.817
0.011623,0.28107,0.077376,0.6491,6.8613,-0.01098,-1.3554e-05,6.0936,1.6838,0.817
0.018131,0.53094,0.097168,1.4097,8.2242,-0.042866,0.0016788,6.0936,1.8133,0.817
0.010594,0.31863,0.13256,0.87064,9.8766,-0.02721,0.0032551,6.0936,1.9429,0.817
0.0015645,0.028895,0.16203,0.053988,10.548,-0.0062635,0.0037392,6.0936,2.0724,0.817
0.0016003,0.0034509,0.18493,0.0014448,10.57,-0.010113,0.0037236,6.0936,2.2019,0.817
0.003139,0.0021039,0.20723,0.00014117,10.559,-0.0046687,0.0035073,6.0936,2.3314,0.817
